request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_194,31340.88,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Wait until 2025-10-23, then pay INR 132800 in full. Paying earlier would put the INR 113600 minimum at risk."
request_195,590.65,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 700 minimum protected.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. The 90-day forecast stays at or above EUR 500.
request_197,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. The 90-day forecast stays at or above INR 124300.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 25359500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. The 90-day forecast stays at or above IDR 20114600.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. The 90-day forecast stays at or above IDR 17304500.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. The 90-day forecast stays at or above INR 147800.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1400 available."
request_204,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1300 minimum protected.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. The 90-day forecast stays at or above IDR 13994300.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available."
request_207,5860.98,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 11830 in full. Paying earlier would put the ZAR 13600 minimum at risk."
request_208,4183516.75,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 2024-06-15, then pay IDR 4413000 in full. Paying earlier would put the IDR 10470700 minimum at risk."
request_209,2236.15,not_affordable,not_recommended,none,2026-01-15,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 18400 minimum protected.
request_210,952.54,affordable_with_plan,partial_payment,2026-04-06:952.54|2026-04-15:407.48,2026-04-15,none,Pay USD 952.54 today and the remaining USD 407.48 on 2026-04-15. This completes the request and keeps the USD 2000 minimum protected.
request_211,546.70,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,"Wait until 2024-09-15, then pay EUR 1788.60 in full. Paying earlier would put the EUR 1500 minimum at risk."
request_212,4731145.64,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 29579800 minimum protected.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This leaves at least USD 2100 available."
request_214,54988.10,affordable_with_plan,partial_payment,2024-12-04:54988.10|2024-12-15:14761.90,2024-12-15,none,Pay INR 54988.10 today and the remaining INR 14761.90 on 2024-12-15. This completes the request and keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09. This leaves at least ZAR 15700 available."
request_216,501.67,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Wait until 2026-09-15, then pay USD 3332.40 in full. Paying earlier would put the USD 1800 minimum at risk."
request_217,22874.52,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12889.07, starting 2024-03-19. This leaves at least ZAR 26800 available."
request_218,26011625.70,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07. This leaves at least IDR 34477200 available."
request_219,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1100 minimum protected.
request_220,208.08,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. The 90-day forecast stays at or above INR 81500.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. The 90-day forecast stays at or above ZAR 27300.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. The 90-day forecast stays at or above EUR 800.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 2025-02-04. This leaves at least IDR 22187600 available."
request_225,12021650.36,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7647120, starting 2026-07-20. This leaves at least IDR 17670700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. The 90-day forecast stays at or above INR 209400.
request_227,12595.85,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 62900 minimum protected.
request_228,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 26191200 minimum protected.
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1000 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. The 90-day forecast stays at or above EUR 2000.
request_231,35531.02,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06. This leaves at least ZAR 24300 available."
request_232,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 2400 minimum protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 10365700 minimum protected.
request_234,273.32,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,"Wait until 2026-08-15, then pay EUR 1213.30 in full. Paying earlier would put the EUR 700 minimum at risk."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. The 90-day forecast stays at or above USD 700.
request_236,6900019.57,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. The 90-day forecast stays at or above IDR 22431500.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700 available."
request_239,206.93,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 600 minimum protected.
request_240,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 2024-03-17. This leaves at least IDR 19252000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. The 90-day forecast stays at or above ZAR 19900.
request_244,39097.88,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 45900 minimum protected.
request_245,39324.96,affordable_later,wait,2025-12-15:128500,2025-12-15,none,"Wait until 2025-12-15, then pay INR 128500 in full. Paying earlier would put the INR 94600 minimum at risk."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 39300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. The 90-day forecast stays at or above EUR 1300.
request_248,788.11,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 1300 minimum protected.
request_249,207.92,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 600 minimum protected.
request_250,17404.90,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 35300 minimum protected.
request_251,1513.60,not_affordable,not_recommended,none,2025-05-03,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1300 minimum protected.
request_252,5655701.89,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Wait until 2026-08-15, then pay IDR 28082000 in full. Paying earlier would put the IDR 15152200 minimum at risk."
request_253,1635.50,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2300 available."
request_254,703.63,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,"Wait until 2025-09-15, then pay USD 3535.20 in full. Paying earlier would put the USD 2500 minimum at risk."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. The 90-day forecast stays at or above IDR 9813900.
request_256,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 168600 minimum protected.
request_257,582.72,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Wait until 2025-11-15, then pay USD 1352.40 in full. Paying earlier would put the USD 1600 minimum at risk."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. The 90-day forecast stays at or above USD 500.
request_259,200.02,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 935 in full. Paying earlier would put the EUR 600 minimum at risk."
request_260,8529475.29,affordable_with_plan,partial_payment,2025-02-06:8529475.29|2025-03-15:43549524.71,2025-03-15,none,Pay IDR 8529475.29 today and the remaining IDR 43549524.71 on 2025-03-15. This completes the request and keeps the IDR 20727700 minimum protected.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. The 90-day forecast stays at or above EUR 1500.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. The 90-day forecast stays at or above IDR 31018500.
request_263,9167.54,not_affordable,not_recommended,none,2025-07-15,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 24100 minimum protected.
request_264,26798.22,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Wait until 2026-05-15, then pay INR 111300 in full. Paying earlier would put the INR 59500 minimum at risk."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. The 90-day forecast stays at or above INR 189700.
request_266,797.93,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900 available."
request_267,1791.56,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1500 available."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1400 available."
request_269,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 23100 minimum protected.
request_270,226.30,not_affordable,not_recommended,none,2026-08-15,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 1400 minimum protected.
request_271,29004.39,affordable_later,wait,2024-10-15:91300,2024-10-15,none,"Wait until 2024-10-15, then pay INR 91300 in full. Paying earlier would put the INR 58200 minimum at risk."
request_272,6067911.95,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 7508600 available."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,Pay IDR 10756514.78 today and the remaining IDR 5104485.22 on 2026-04-15. This completes the request and keeps the IDR 18774600 minimum protected.
request_274,2494.83,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. The 90-day forecast stays at or above IDR 12760100.
